ERROR_404_TITLE;Oops !
ERROR_404_CONTENT;Oops ! La page souhaitée n'existe pas =/
META_KEYWORDS;accomodation bagnères de luchon, accomodation luchon, b et b luchon, b&b luchon, bagnères de luchon, bed and breakfast bagnères de luchon, bedandbreakfast luchon
META_DESCRIPTION;Luchon Location Vacances : Gites et Chambres de Charme en Pays de Luchon
GLOBAL_HEADER_TITLE;Luchon Location Vacances
HEAD_TITLE_HOME;Accueil
HEAD_TITLE_PARTNERS;Partenaires
HEAD_TITLE_CONNECTION;Connexion
HEAD_TITLE_NEWS;Actualités
HEAD_TITLE_ACTIVITY;Activités
HEAD_TITLE_ERROR;ERREUR
HEAD_TITLE_CARROUSEL;Carrousel
HEAD_TITLE_CONTACT;Réservation / Contact
HEAD_TITLE_SEASON;Gestion des saisons
HEAD_TITLE_PRODUCTS;Produits
HEAD_TITLE_TRADUCTION;Traductions
GLOBAL_MENU_HOME;Accueil
GLOBAL_MENU_CHAMBRES;Nos chambres d'hôtes
GLOBAL_MENU_GITE;Notre chalet de montagne
GLOBAL_MENU_NEWS;Actualités
GLOBAL_MENU_ACTIVITIES;Activités et loisirs
GLOBAL_MENU_CONTACT;Pour réserver
GLOBAL_MENU_PARTNERS;Partenaires
GLOBAL_MENU_LOCATIONS;Locations
GLOBAL_MENU_DISPONIBILITES;Disponibilités
GLOBAL_MENU_PLAN;Plan du site
GLOBAL_OUI;Oui
GLOBAL_NON;Non
GLOBAL_AUCUNE;Aucune
GLOBAL_FORM_ENVOYER;Envoyer
GLOBAL_FORM_CONFIRMER;Confirmer
GLOBAL_FORM_VALIDER;Valider
GLOBAL_FORM_SUBMIT;Enregistrer
GLOBAL_FORM_SUBMIT_QUIT;Enregistrer & quitter
GLOBAL_COORDONNEES_ADRESSE;Adresse : 28, avenue de Gascogne - 31 110 Saint Mamet
GLOBAL_COORDONNEES_TELEPHONE_LABEL;Tél.
GLOBAL_COORDONNEES_TELEPHONE;+33(0) 561 891 353
GLOBAL_COORDONNEES_MOBILE_LABEL;Mob.
GLOBAL_COORDONNEES_MOBILE;+33(0) 618 641 429
GLOBAL_COORDONNEES_GPS_LABEL;Coordonnées GPS
GLOBAL_BACK;Retourner à la liste
GLOBAL_BACK_HOME;Retourner à l'accueil
GLOBAL_BACK_SIMPLE;Retour
GLOBAL_CHAMP_OBLIGATOIRE;*
GLOBAL_MONNAIE;euros
GLOBAL_MONTH_LABEL01;Janvier
GLOBAL_MONTH_LABEL02;Février
GLOBAL_MONTH_LABEL03;Mars
GLOBAL_MONTH_LABEL04;Avril
GLOBAL_MONTH_LABEL05;Mai
GLOBAL_MONTH_LABEL06;Juin
GLOBAL_MONTH_LABEL07;Juillet
GLOBAL_MONTH_LABEL08;Août
GLOBAL_MONTH_LABEL09;Septembre
GLOBAL_MONTH_LABEL10;Octobre
GLOBAL_MONTH_LABEL11;Novembre
GLOBAL_MONTH_LABEL12;Décembre
GLOBAL_MONTH_LABEL_SHORT01;Jan
GLOBAL_MONTH_LABEL_SHORT02;Fév
GLOBAL_MONTH_LABEL_SHORT03;Mars
GLOBAL_MONTH_LABEL_SHORT04;Avr
GLOBAL_MONTH_LABEL_SHORT05;Mai
GLOBAL_MONTH_LABEL_SHORT06;Juin
GLOBAL_MONTH_LABEL_SHORT07;Juil
GLOBAL_MONTH_LABEL_SHORT08;Août
GLOBAL_MONTH_LABEL_SHORT09;Sept
GLOBAL_MONTH_LABEL_SHORT10;Oct
GLOBAL_MONTH_LABEL_SHORT11;Nov
GLOBAL_MONTH_LABEL_SHORT12;Déc
GLOBAL_DAY_LABEL0;Dimanche
GLOBAL_DAY_LABEL1;Lundi
GLOBAL_DAY_LABEL2;Mardi
GLOBAL_DAY_LABEL3;Mercredi
GLOBAL_DAY_LABEL4;Jeudi
GLOBAL_DAY_LABEL5;Vendredi
GLOBAL_DAY_LABEL6;Samedi
GLOBAL_DAY_LABEL_SHORT0;Di
GLOBAL_DAY_LABEL_SHORT1;Lu
GLOBAL_DAY_LABEL_SHORT2;Ma
GLOBAL_DAY_LABEL_SHORT3;Me
GLOBAL_DAY_LABEL_SHORT4;Je
GLOBAL_DAY_LABEL_SHORT5;Ve
GLOBAL_DAY_LABEL_SHORT6;Sa
GLOBAL_DATEPICKER_CLOSETEXT;Terminer
GLOBAL_DATEPICKER_PREVIOUS;Précédent
GLOBAL_DATEPICKER_NEXT;Suivant
GLOBAL_DATEPICKER_CURRENT;Aujourd'hui
GLOBAL_DATEPICKER_WEEK;Semaine
GLOBAL_DATEPICKER_FORMAT;dd/mm/yy
GLOBAL_DATEPICKER_FIRSTDAY;1
GLOBAL_TIME_SEPARATOR_LABEL;à
GLOBAL_WEEK_LABEL_SHORT;Sem.
FOOTER_COPYRIGHT;Tous droits reservés© 2008
FOOTER_CREDITS;Réalisation :
FOOTER_PARTENAIRES;Partenaires
HOME_NEWS_TITRE;Dernières nouvelles
HOME_NEWS_MORE;Voir les autres actualités
HOME_NEWS_NEXT;Lire la suite de l'article
HOME_ACTIVITY_TITRE;Activité au hasard
