ERROR_404_TITLE;Oops !
ERROR_404_CONTENT;Oops ! The wished page does not exist
META_KEYWORDS;
META_DESCRIPTION;Luchon Location Vacances : Charming Guesthouse & Mountain Chalet
GLOBAL_HEADER_TITLE;Luchon Location Vacances
HEAD_TITLE_HOME;Home
HEAD_TITLE_PARTNERS;Partners
HEAD_TITLE_CONNECTION;Connection
HEAD_TITLE_NEWS;News
HEAD_TITLE_ACTIVITY;Activities
HEAD_TITLE_ERROR;ERROR
HEAD_TITLE_CARROUSEL;Carousel
HEAD_TITLE_CONTACT;Reservations / Contact
HEAD_TITLE_SEASON;Seasons management
HEAD_TITLE_PRODUCTS;Products
HEAD_TITLE_DISPONIBILITES;Availabilities
GLOBAL_MENU_HOME;Home
GLOBAL_MENU_CHAMBRES;Our guesthouse
GLOBAL_MENU_GITE;Our mountain chalet
GLOBAL_MENU_NEWS;News
GLOBAL_MENU_ACTIVITIES;Activities & spare time
GLOBAL_MENU_CONTACT;To reserve
GLOBAL_MENU_PARTNERS;Partners
GLOBAL_MENU_LOCATIONS;Rentals
GLOBAL_MENU_DISPONIBILITES;Availabilities
GLOBAL_MENU_PLAN;Website map tree
GLOBAL_OUI;Yes
GLOBAL_NON;No
GLOBAL_AUCUNE;None
GLOBAL_FORM_ENVOYER;Send
GLOBAL_FORM_CONFIRMER;Confirm
GLOBAL_FORM_VALIDER;Valid
GLOBAL_FORM_SUBMIT;Save
GLOBAL_FORM_SUBMIT_QUIT;Save & quit
GLOBAL_COORDONNEES_ADRESSE;Address : 28, avenue de Gascogne - 31 110 Saint Mamet
GLOBAL_COORDONNEES_TELEPHONE_LABEL;Phone
GLOBAL_COORDONNEES_TELEPHONE;+33(0) 561 891 354
GLOBAL_COORDONNEES_MOBILE_LABEL;Mob.
GLOBAL_COORDONNEES_MOBILE;+33(0) 618 641 430
GLOBAL_COORDONNEES_GPS_LABEL;GPS coordinates
GLOBAL_BACK;Back to list
GLOBAL_BACK_HOME;Back to home page
GLOBAL_BACK_SIMPLE;Back
GLOBAL_CHAMP_OBLIGATOIRE;*
GLOBAL_MONNAIE;euros
GLOBAL_MONTH_LABEL01;January
GLOBAL_MONTH_LABEL02;Ferbruary
GLOBAL_MONTH_LABEL03;March
GLOBAL_MONTH_LABEL04;April
GLOBAL_MONTH_LABEL05;May
GLOBAL_MONTH_LABEL06;June
GLOBAL_MONTH_LABEL07;July
GLOBAL_MONTH_LABEL08;August
GLOBAL_MONTH_LABEL09;September
GLOBAL_MONTH_LABEL10;October
GLOBAL_MONTH_LABEL11;November
GLOBAL_MONTH_LABEL12;December
GLOBAL_MONTH_LABEL_SHORT01;Jan
GLOBAL_MONTH_LABEL_SHORT02;Feb
GLOBAL_MONTH_LABEL_SHORT03;Mar
