ERROR_404_TITLE;¡ Oops!
ERROR_404_CONTENT;¡ Oops! La página deseada no existe =/
META_DESCRIPTION;Luchon Alquiler Vacaciones: Chalè y Cuartos de Encanto en País de Luchon
META_GOOGLE_VERIF;MyUxzCNcdspiFGJxWUrpzL0A2rf3TfQdg88ZBvrGL10
HEAD_TITLE_HOME;Acogida
HEAD_TITLE_PARTNERS;Socios
HEAD_TITLE_NEWS;Actualidades
HEAD_TITLE_ACTIVITY;Actividades
HEAD_TITLE_ERROR;ERROR
HEAD_TITLE_CARROUSEL;Carrusel
HEAD_TITLE_CONTACT;Reserva / Contacto
HEAD_TITLE_SEASON;Gestión de las temporadas
HEAD_TITLE_PRODUCTS;Productos
HEAD_TITLE_DISPONIBILITES;Disponibilidades
GLOBAL_MENU_HOME;Acogida
GLOBAL_MENU_CHAMBRES;Nuestros cuartos de huéspedes
GLOBAL_MENU_GITE;Nuestro chalé de montaña
GLOBAL_MENU_NEWS;Actualidades
GLOBAL_MENU_ACTIVITIES;Actividades y ocio
GLOBAL_MENU_CONTACT;Para reservar
GLOBAL_MENU_PARTNERS;Socios
GLOBAL_MENU_LOCATIONS;Alquileres
GLOBAL_MENU_DISPONIBILITES;Disponibilidades
GLOBAL_MENU_PLAN;Sitemap
GLOBAL_MENU_SEASON;Temporadas
GLOBAL_HEADER_TITLE;Luchon Location Vacances
GLOBAL_OUI;si
GLOBAL_NON;no
GLOBAL_AUCUNE;Ninguno
GLOBAL_FORM_ENVOYER;Enviar
GLOBAL_FORM_CONFIRMER;Confirmar
GLOBAL_FORM_VALIDER;Validar
GLOBAL_FORM_SUBMIT;Registrar
GLOBAL_FORM_SUBMIT_QUIT;Registrar e irse
GLOBAL_COORDONNEES_ADRESSE;Dirección : 28, avenue de Gascogne - 31 110 Saint Mamet
GLOBAL_COORDONNEES_TELEPHONE_LABEL;Tél,
GLOBAL_COORDONNEES_TELEPHONE;+33(0) 561 891 355
GLOBAL_COORDONNEES_MOBILE_LABEL;móvil
GLOBAL_COORDONNEES_MOBILE;+33(0) 618 641 431
GLOBAL_COORDONNEES_GPS_LABEL;Coordinadas GPS
GLOBAL_BACK;Regresar a la lista
GLOBAL_BACK_HOME;Regresar a la acogida
GLOBAL_BACK_SIMPLE;Vuelta
GLOBAL_CHAMP_OBLIGATOIRE;*
GLOBAL_MONNAIE;euros
FOOTER_COPYRIGHT;Todos derecho reservés © 2008
FOOTER_CREDITS;Realización:
FOOTER_PARTENAIRES;Socios
GLOBAL_MONTH_LABEL01;Enero
GLOBAL_MONTH_LABEL02;Febrero
GLOBAL_MONTH_LABEL03;Marzo
GLOBAL_MONTH_LABEL04;Abril
GLOBAL_MONTH_LABEL05;Mayo
GLOBAL_MONTH_LABEL06;Junio
GLOBAL_MONTH_LABEL07;Julio
GLOBAL_MONTH_LABEL08;Agosto
GLOBAL_MONTH_LABEL09;Septiembre
GLOBAL_MONTH_LABEL10;Octubre
GLOBAL_MONTH_LABEL11;Noviembre
GLOBAL_MONTH_LABEL12;Diciembre
GLOBAL_MONTH_LABEL_SHORT01;Enero
GLOBAL_MONTH_LABEL_SHORT02;Febrero
GLOBAL_MONTH_LABEL_SHORT03;Marzo
GLOBAL_MONTH_LABEL_SHORT04;Abril
GLOBAL_MONTH_LABEL_SHORT05;Mayo
GLOBAL_MONTH_LABEL_SHORT06;Junio
GLOBAL_MONTH_LABEL_SHORT07;Julio
GLOBAL_MONTH_LABEL_SHORT08;Agosto
