FR, France, 97, Floirac, 0, 0, 44.833302, -0.533300
US, United States, CA, Mountain View, 807, 650, 37.419201, -122.057404
FR, France, A8, Plaisir, 0, 0, 48.816700, 1.950000
US, United States, CA, Mountain View, 0, 0, 45.583302, 5.283300
FR, France, 0, 0, 46.000000, 2.000000
US, United States, CA, San Jose, 807, 408, 37.307301, -121.856796
US, United States, 0, 0, 38.000000, -97.000000
FR, France, B8, Toulon, 0, 0, 43.116699, 5.933300
FR, France, B5, Rezé, 0, 0, 47.200001, -1.566700
US, United States, NJ, Woodbridge, 501, 732, 40.552502, -74.291496
FR, France, B3, Toulouse, 0, 0, 43.599998, 1.433300
FR, France, B8, Hyères, 0, 0, 43.116699, 6.116700
US, United States, NJ, Woodbridge, 0, 0, 59.894402, 30.264200
FR, France, B8, Noves, 0, 0, 43.866699, 4.900000
FR, France, 97, Lons, 0, 0, 43.316700, -0.400000
FR, France, 97, Lons, 0, 0, 45.983299, 4.716700
FR, France, A7, Saint-georges-sur-fontaine, 0, 0, 49.549999, 1.183300
US, United States, NJ, Woodbridge, 819, 425, 47.680099, -122.120598
FR, France, A2, Montreuil-le-gast, 0, 0, 48.250000, -1.716700
FR, France, A8, Paris, 0, 0, 48.866699, 2.333300
FR, France, 97, Floirac, 0, 0, 46.000000, 2.000000
CA, Canada, BC, Vancouver, 0, 0, 49.250000, -123.133301
FR, France, A8, Alfortville, 0, 0, 48.799999, 2.416700
BE, Belgium, 11, Brussels, 0, 0, 50.833302, 4.333300
GB, United Kingdom, 0, 0, 54.000000, -2.000000
JP, Japan, 34, Soka, 0, 0, 35.820301, 139.804398
FR, France, B5, Chalonnes, 0, 0, 47.349998, -0.766700
DE, Germany, 13, Kesselsdorf, 0, 0, 51.033298, 13.583300
DE, Germany, 0, 0, 51.000000, 9.000000
FR, France, B5, Carquefou, 0, 0, 47.299999, -1.500000
DE, Germany, 07, Willich, 0, 0, 51.266701, 6.550000
US, United States, NJ, Woodbridge, 0, 0, 48.866699, 2.333300
FR, France, A8, Paris, 0, 0, 44.866699, 4.883300
FR, France, B3, Blagnac, 0, 0, 43.633301, 1.400000
FR, France, A9, Perpignan, 0, 0, 42.683300, 2.883300
FR, France, B3, Toulouse, 0, 0, 31.633301, -8.000000
FR, France, A2, Rennes, 0, 0, 48.083302, -1.683300
FR, France, 97, Bayonne, 0, 0, 43.483299, -1.483300
US, United States, NJ, Woodbridge, 0, 0, 4.533900, -75.681099
ES, Spain, 0, 0, 40.000000, -4.000000
US, United States, MO, Kansas City, 616, 816, 39.106800, -94.566002
CA, Canada, ON, Ottawa, 0, 0, 45.416698, -75.699997
AU, Australia, 07, Melbourne, 0, 0, -37.816700, 144.966705
PL, Poland, 78, Warsaw, 0, 0, 52.250000, 21.000000
FR, France, B3, Toulouse, 0, 0, 46.000000, 2.000000
FR, France, 97, Pau, 0, 0, 43.299999, -0.366700
JP, Japan, 0, 0, 36.000000, 138.000000
FR, France, 0, 0, -16.398899, -71.535004
FR, France, B3, Colomiers, 0, 0, 43.616699, 1.350000
FR, France, B5, Bécon-les-granits, 0, 0, 47.500000, -0.800000
FR, France, A8, Champs-sur-marne, 0, 0, 48.849998, 2.600000
FR, France, B9, Saint-genis-laval, 0, 0, 45.683300, 4.800000
CH, Switzerland, 0, 0, 47.000000, 8.000000
DE, Germany, 16, Berlin, 0, 0, -12.050000, -77.050003
FR, France, B3, Toulouse, 0, 0, 47.383301, 0.833300
FR, France, B8, Grasse, 0, 0, 43.666698, 6.916700
FR, France, B3, Balma, 0, 0, 43.616699, 1.500000
US, United States, WA, Redmond, 819, 425, 47.680099, -122.120598
US, United States, WA, Bellevue, 819, 425, 47.552700, -122.147903
GB, United Kingdom, H9, London, 0, 0, 51.500198, -0.126200
FR, France, A1, Saint-apollinaire, 0, 0, 47.333302, 5.083300
FR, France, B8, Marseille, 0, 0, 43.299999, 5.400000
FR, France, A7, Darnétal, 0, 0, 49.450001, 1.150000
FR, France, A9, Agde, 0, 0, 43.316700, 3.466700
US, United States, NJ, Woodbridge, 0, 0, 47.716702, -1.383300
FR, France, B3, Pechbonnieu, 0, 0, 43.700001, 1.466700
FR, France, B9, Roanne, 0, 0, 43.299999, 5.400000
FR, France, A2, Auray, 0, 0, 47.666698, -2.983300
FR, France, A3, Étampes, 0, 0, 48.433300, 2.150000
FR, France, B5, Nantes, 0, 0, 47.216702, -1.550000
US, United States, WA, Seattle, 819, 206, 47.602600, -122.328400
FR, France, B3, Labastide-rouairoux, 0, 0, 43.466702, 2.650000
US, United States, NJ, Woodbridge, 0, 0, 44.833302, -0.566700
FR, France, B8, Le Tholonet, 0, 0, 43.516701, 5.516700
FR, France, B3, Portet-sur-garonne, 0, 0, 43.516701, 1.416700
IT, Italy, 09, Milan, 0, 0, 45.466702, 9.200000
FR, France, 97, Cenon, 0, 0, 44.849998, -0.533300
FR, France, B5, Trélazé, 0, 0, 47.450001, -0.466700
FR, France, B8, Arles, 0, 0, 43.666698, 4.633300
FR, France, 0, 0, 48.766701, 2.066700
FR, France, B9, Montrond-les-bains, 0, 0, 45.633301, 4.233300
FR, France, 97, Avensan, 0, 0, 45.033298, -0.750000
FR, France, B1, Panazol, 0, 0, 45.833302, 1.300000
US, United States, DE, Wilmington, 504, 302, 39.715698, -75.528099
US, United States, NJ, Woodbridge, 0, 0, 38.000000, -97.000000
FR, France, B5, Teillé, 0, 0, 47.466702, -1.283300
FR, France, B5, Sucé, 0, 0, 47.333302, -1.533300
FR, France, A2, Porcaro, 0, 0, 47.916698, -2.200000
BE, Belgium, 04, Liège, 0, 0, 50.633301, 5.566700
FR, France, B7, Mazeuil, 0, 0, 46.783298, 0.100000
FR, France, B3, Toulouse, 0, 0, 47.383301, 0.683300
US, United States, NJ, Woodbridge, 0, 0, 44.916698, 2.450000
FR, France, 97, Habas, 0, 0, 43.566700, -0.933300
FR, France, B3, Toulouse, 0, 0, 44.833302, -0.766700
US, United States, NJ, Woodbridge, 0, 0, 50.099998, 18.683300
FR, France, B6, Saint-brice-sous-forêt, 0, 0, 49.000000, 2.366700
US, United States, NJ, Woodbridge, 0, 0, 46.000000, 25.000000
US, United States, CA, Beverly Hills, 803, 310, 34.099499, -118.414299
FR, France, B3, Toulouse, 0, 0, 43.599998, 7.000000
US, United States, NJ, Woodbridge, 0, 0, 46.000000, 2.000000
US, United States, NJ, Woodbridge, 0, 0, 48.799999, 2.283300
FR, France, B8, Gassin, 0, 0, 43.216702, 6.583300
FR, France, B3, Lavaur, 0, 0, 43.700001, 1.816700
FR, France, B5, Orvault, 0, 0, 47.266701, -1.616700
FR, France, A2, Elliant, 0, 0, 48.000000, -3.883300
US, United States, NJ, Woodbridge, 0, 0, 40.400002, -3.683300
ES, Spain, 56, Sant Cugat Del Vallès, 0, 0, 41.466702, 2.083300
BE, Belgium, 06, Grand-halleux, 0, 0, 50.325802, 5.907200
FR, France, A8, Villejuif, 0, 0, 48.799999, 2.366700
US, United States, TX, Dallas, 623, 214, 32.782501, -96.820702
US, United States, NJ, Woodbridge, 0, 0, 47.000000, 8.000000
FR, France, B3, Olemps, 0, 0, 44.349998, 2.566700
US, United States, NJ, Sayreville, 501, 732, 40.461899, -74.356102
US, United States, CA, San Jose, 807, 408, 37.323898, -121.914398
FR, France, A8, Plaisir, 501, 201, 40.825901, -74.107903
US, United States, NJ, Woodbridge, 0, 0, 6.291400, -75.536102
GB, United Kingdom, C9, Brampton, 0, 0, 52.283298, -0.916700
FR, France, A8, Poissy, 0, 0, 48.933300, 2.050000
FR, France, A8, Rosny-sous-bois, 0, 0, 48.866699, 2.483300
FR, France, B9, Vénissieux, 0, 0, 45.683300, 4.883300
FR, France, A1, Villeneuve-sur-yonne, 0, 0, 48.083302, 3.300000
FR, France, B6, Chevrières, 0, 0, 49.349998, 2.683300
FR, France, A9, Sauvian, 0, 0, 43.299999, 3.266700
ES, Spain, 56, Cornellá, 0, 0, 41.349998, 2.083300
TR, Turkey, 34, Istanbul, 0, 0, 41.018600, 28.964701
FR, France, B3, Muret, 0, 0, 43.466702, 1.350000
FR, France, A8, Versailles, 0, 0, 48.799999, 2.133300
US, United States, NJ, Woodbridge, 0, 0, 47.133301, -0.900000
FR, France, B7, Cissé, 0, 0, 46.650002, 0.250000
FR, France, B7, Saint-georges-de-didonne, 0, 0, 45.599998, -1.000000
FR, France, B3, Plaisance-du-touch, 0, 0, 43.566700, 1.300000
FR, France, B8, Mougins, 0, 0, 43.599998, 7.000000
US, United States, FL, Miami, 528, 305, 25.780600, -80.182602
US, United States, NY, New York, 501, 212, 40.751701, -73.997200
US, United States, NJ, Woodbridge, 807, 650, 37.397400, -122.073196
US, United States, NJ, Woodbridge, 0, 0, 48.683300, 6.200000
BE, Belgium, 04, Amay, 0, 0, 50.549999, 5.316700
US, United States, NJ, Woodbridge, 0, 0, 47.616699, -0.600000
US, United States, NJ, Woodbridge, 0, 0, 46.066700, 0.666700
BE, Belgium, 0, 0, 50.833302, 4.000000
FR, France, B5, Saint-herblain, 0, 0, 47.216702, -1.650000
FR, France, B3, Montastruc-la-conseillère, 0, 0, 43.716702, 1.600000
GB, United Kingdom, G5, Ashford, 0, 0, 51.133301, 0.883300
FR, France, A7, Bois, 0, 0, 48.866699, 1.350000
US, United States, 0, 0, 52.516701, 13.400000
FR, France, 97, Saint-médard-en-jalles, 0, 0, 44.900002, -0.733300
FR, France, 97, Artigues-près-bordeaux, 0, 0, 44.849998, -0.516700
FR, France, B3, Saint-gaudens, 0, 0, 43.116699, 0.733300
IE, Ireland, 12, Naas, 0, 0, 53.215801, -6.666900
DE, Germany, 05, Darmstadt, 0, 0, 49.870602, 8.649400
BE, Belgium, 01, Kessel, 0, 0, 51.133301, 4.616700
FR, France, B9, Lans, 0, 0, 45.116699, 5.583300
GB, United Kingdom, I2, Manchester, 0, 0, 46.000000, 2.000000
FR, France, B3, Salies-du-salat, 0, 0, 43.116699, 0.950000
FR, France, A3, Nogent-le-rotrou, 0, 0, 48.316700, 0.833300
FR, France, B7, Niort, 0, 0, 46.316700, -0.466700
FR, France, A2, Saint-gouéno, 0, 0, 48.266701, -2.583300
FR, France, 98, Lempdes, 0, 0, 45.383301, 3.283300
FR, France, 97, Saint-cricq-chalosse, 0, 0, 43.650002, -0.683300
FR, France, B3, Léguevin, 0, 0, 43.599998, 1.250000
FR, France, 0, 0, 48.866699, 2.333300
FR, France, B3, Albi, 0, 0, 43.933300, 2.150000
FR, France, A2, Paimpol, 0, 0, 48.766701, -3.050000
CH, Switzerland, 25, Zürich, 0, 0, 47.366699, 8.550000
FR, France, B3, Montauban, 0, 0, 44.016701, 1.350000
US, United States, NJ, Woodbridge, 616, 816, 39.106800, -94.566002
FR, France, C1, Strasbourg, 0, 0, 48.583302, 7.750000
FR, France, B9, Échirolles, 0, 0, 45.133301, 5.716700
FR, France, A2, Iffendic, 0, 0, 48.133301, -2.033300
US, United States, NJ, Woodbridge, 0, 0, 47.316700, 5.016700
FR, France, A3, Saint Denis, 0, 0, 46.933300, 2.533300
FR, France, B7, Échiré, 0, 0, 46.383301, -0.400000
US, United States, MI, Lansing, 0, 0, 47.216702, -1.550000
